Mean Boxsize 
L_x L_y L_z 
54.3442 54.3442 50
q |h_q|^2 |h_q|^2_var
0.115618 313.64 27259.5
0.115618 433.867 51713
0.163509 70.4789 1341.05
0.163509 97.3285 1828.13
0.231237 20.0202 21.8266
0.231237 25.3293 35.6975
0.25853 13.594 6.55727
0.25853 14.3603 4.55777
0.25853 13.8692 5.2687
0.25853 13.2268 2.42124
0.327018 5.34124 0.548704
0.327018 5.67786 0.353033
0.346855 4.21783 0.133443
0.346855 4.66337 0.220901
0.365617 3.33248 0.105435
0.365617 3.59671 0.178442
0.365617 3.49364 0.160226
0.365617 3.88208 0.223534
0.416868 2.01281 0.0557012
0.416868 2.18284 0.0370841
0.416868 2.17075 0.0755891
0.416868 2.27775 0.018663
0.462473 1.40968 0.027076
0.462473 1.49066 0.0206264
0.476706 1.30272 0.0129744
0.476706 1.22401 0.00610854
0.476706 1.30724 0.0131916
0.476706 1.43298 0.00581004
0.490527 1.23339 0.0017556
0.490527 1.12619 0.0131388
0.517061 0.954972 0.00692785
0.517061 0.897907 0.00377218
0.517061 1.01848 0.00289785
0.517061 0.941935 0.00779919
0.578091 0.645454 0.003095
0.578091 0.61211 0.00300192
0.578091 0.671911 0.00221087
0.578091 0.688626 0.00155848
0.578091 0.629642 0.00347892
0.578091 0.713107 0.00402956
0.58954 0.594322 0.00430428
0.58954 0.577227 0.00192861
0.58954 0.642372 0.00249514
0.58954 0.648699 0.000769779
0.622623 0.462168 0.000695515
0.622623 0.508034 0.00182882
0.622623 0.530105 0.00148099
0.622623 0.486875 0.00173484
0.654036 0.451157 0.000690305
0.654036 0.397472 0.0010839
0.674165 0.359538 0.000688366
0.674165 0.390681 0.000907301
0.674165 0.408296 0.000398484
0.674165 0.377117 0.00113234
0.740318 0.295429 0.00040633
0.740318 0.265219 0.00041625
0.740318 0.297743 0.000277998
0.740318 0.271947 0.000560468
0.817545 0.223143 0.000252923
0.817545 0.200503 0.000369273
