Mean Boxsize 
L_x L_y L_z 
54.3315 54.3315 50
q |h_q|^2 |h_q|^2_var
0.115645 548.745 210114
0.115645 190.506 10338.1
0.163547 80.3876 792.167
0.163547 100.664 2941.47
0.231291 22.2937 42.0363
0.231291 21.9136 10.7349
0.258591 15.7045 13.2398
0.258591 14.0796 7.74961
0.258591 14.0955 5.99867
0.258591 14.5861 13.8015
0.327094 5.45255 0.502134
0.327094 5.64375 0.47795
0.346936 4.50252 0.358848
0.346936 4.48849 0.168353
0.365703 3.43874 0.170712
0.365703 3.57987 0.132167
0.365703 3.5504 0.0925854
0.365703 3.67704 0.0771601
0.416965 2.2546 0.127679
0.416965 2.19875 0.0167984
0.416965 2.23159 0.0936645
0.416965 2.21135 0.0772422
0.462581 1.57519 0.0361515
0.462581 1.5103 0.0141516
0.476818 1.33472 0.018385
0.476818 1.32891 0.0244945
0.476818 1.32662 0.00741166
0.476818 1.35438 0.0058402
0.490642 1.19348 0.0130749
0.490642 1.21182 0.0196394
0.517182 0.997464 0.0101089
0.517182 0.94954 0.010186
0.517182 1.00828 0.0132833
0.517182 0.961131 0.00577298
0.578227 0.67878 0.0193952
0.578227 0.646715 0.00545607
0.578227 0.673247 0.00390221
0.578227 0.689193 0.00320443
0.578227 0.64018 0.00199095
0.578227 0.677218 0.00167493
0.589678 0.622855 0.00501764
0.589678 0.59641 0.00702968
0.589678 0.615911 0.00224213
0.589678 0.625896 0.00255744
0.622769 0.503393 0.00416205
0.622769 0.513231 0.00203788
0.622769 0.519662 0.00187154
0.622769 0.504198 0.00110373
0.654189 0.442101 0.0015991
0.654189 0.424085 0.00289125
0.674322 0.382969 0.0028172
0.674322 0.396223 0.00142033
0.674322 0.393643 0.00146811
0.674322 0.388279 0.00132463
0.740491 0.29123 0.000784861
0.740491 0.282514 0.00173063
0.740491 0.289741 0.000905083
0.740491 0.279932 0.00105364
0.817736 0.213962 0.000589326
0.817736 0.210515 0.00104184
