Mean Boxsize 
L_x L_y L_z 
54.3373 54.3373 50
q |h_q|^2 |h_q|^2_var
0.115633 250.341 20357.9
0.115633 392.851 92391.7
0.16353 113.298 2593.8
0.16353 98.3936 1992.42
0.231266 22.6085 9.62202
0.231266 20.8075 36.7847
0.258563 14.626 6.83367
0.258563 13.7328 1.27694
0.258563 14.8205 6.02202
0.258563 14.3509 6.91429
0.327059 5.78909 0.611457
0.327059 5.33737 0.47858
0.346899 4.43503 0.376063
0.346899 4.44934 0.430631
0.365663 3.62076 0.0659653
0.365663 3.75958 0.300294
0.365663 3.6002 0.306828
0.365663 3.70478 0.220504
0.416921 2.21824 0.0615965
0.416921 2.30026 0.0519232
0.416921 2.10747 0.0719992
0.416921 2.16561 0.0349815
0.462532 1.54552 0.030112
0.462532 1.47125 0.0296868
0.476767 1.40542 0.0213853
0.476767 1.36749 0.0134074
0.476767 1.29964 0.0219135
0.476767 1.36675 0.0144332
0.490589 1.24353 0.0215588
0.490589 1.19698 0.00626671
0.517126 1.02203 0.00893504
0.517126 0.966726 0.00264477
0.517126 0.94713 0.018445
0.517126 0.997521 0.00760088
0.578165 0.678274 0.00488174
0.578165 0.669114 0.00509149
0.578165 0.644476 0.00204375
0.578165 0.649309 0.00371314
0.578165 0.681664 0.00195524
0.578165 0.667312 0.00982947
0.589615 0.618506 0.00401449
0.589615 0.634439 0.00446434
0.589615 0.59884 0.00603583
0.589615 0.604693 0.00333388
0.622702 0.528953 0.00322367
0.622702 0.504358 0.00154928
0.622702 0.5136 0.00242903
0.622702 0.491267 0.0036958
0.654119 0.414827 0.00151861
0.654119 0.437905 0.00159352
0.67425 0.377706 0.00140852
0.67425 0.392012 0.00162277
0.67425 0.397202 0.00115878
0.67425 0.37225 0.00195481
0.740412 0.280217 0.00059807
0.740412 0.29528 0.000767739
0.740412 0.278964 0.000817255
0.740412 0.295285 0.000752861
0.817648 0.203712 0.000585062
0.817648 0.214403 0.00046183
