Mean Boxsize 
L_x L_y L_z 
54.2223 54.2223 50
q |h_q|^2 |h_q|^2_var
0.115878 287.387 36170.1
0.115878 372.078 45875
0.163877 94.617 1795.05
0.163877 137.692 2476.53
0.231757 24.8456 29.4599
0.231757 28.2249 23.1386
0.259112 16.2837 1.50819
0.259112 15.2173 9.6633
0.259112 16.8394 9.63359
0.259112 16.6593 5.48455
0.327753 6.44658 0.214624
0.327753 6.23392 0.214792
0.347635 5.06313 0.209702
0.347635 5.16439 0.163847
0.366439 4.33649 0.0295508
0.366439 4.24455 0.28494
0.366439 4.0996 0.063595
0.366439 4.41382 0.142181
0.417805 2.55826 0.0153066
0.417805 2.53288 0.0151721
0.417805 2.47309 0.0168414
0.417805 2.5114 0.028608
0.463513 1.78124 0.00343089
0.463513 1.7312 0.0111015
0.477778 1.54332 0.00638546
0.477778 1.5039 0.00707191
0.477778 1.57155 0.00656719
0.477778 1.56167 0.00732683
0.49163 1.37237 0.006983
0.49163 1.41114 0.00377195
0.518223 1.11711 0.00238668
0.518223 1.11538 0.00360824
0.518223 1.14602 0.00276071
0.518223 1.14512 0.000784336
0.579391 0.764762 0.00129863
0.579391 0.770373 0.00240983
0.579391 0.76816 0.000983862
0.579391 0.752788 0.00162213
0.579391 0.754465 0.000808965
0.579391 0.777697 0.00213796
0.590866 0.710539 0.000657176
0.590866 0.708861 0.000858562
0.590866 0.724843 0.000867801
0.590866 0.714972 0.00157976
0.624024 0.586338 0.000435588
0.624024 0.577472 0.000977488
0.624024 0.586042 0.000785801
0.624024 0.576033 0.000408827
0.655506 0.488817 0.00044813
0.655506 0.494859 0.00025992
0.675681 0.448572 0.000655106
0.675681 0.437455 0.000356095
0.675681 0.45162 0.000569176
0.675681 0.442621 0.000393743
0.741983 0.331338 0.00025197
0.741983 0.321364 0.000247691
0.741983 0.335413 0.000431431
0.741983 0.328962 0.000363293
0.819383 0.241381 0.000190342
0.819383 0.245647 0.000222317
