Mean Boxsize 
L_x L_y L_z 
54.3744 54.3744 50
q |h_q|^2 |h_q|^2_var
0.115554 302.711 11066.7
0.115554 347.509 60903.4
0.163418 99.871 1527.4
0.163418 73.5097 515.042
0.231108 22.8012 34.1968
0.231108 20.8678 10.2278
0.258387 13.3308 4.82953
0.258387 12.5631 5.59678
0.258387 14.2811 9.6468
0.258387 13.2079 3.98605
0.326837 5.27274 0.313139
0.326837 5.26519 0.482493
0.346663 4.26266 0.210087
0.346663 4.41781 0.106324
0.365414 3.42438 0.171421
0.365414 3.44929 0.125603
0.365414 3.57192 0.126875
0.365414 3.56699 0.19469
0.416636 2.15942 0.0438321
0.416636 2.09299 0.0479214
0.416636 2.07475 0.0576775
0.416636 2.04375 0.0454923
0.462217 1.40388 0.013815
0.462217 1.45593 0.0221395
0.476442 1.2472 0.0116756
0.476442 1.27475 0.00782414
0.476442 1.29992 0.0177754
0.476442 1.27656 0.0100322
0.490255 1.14178 0.0106383
0.490255 1.15892 0.00834922
0.516774 0.93892 0.00338948
0.516774 0.954608 0.00889577
0.516774 0.94962 0.0102126
0.516774 0.993219 0.00794047
0.577771 0.625254 0.00278326
0.577771 0.615257 0.00437765
0.577771 0.613867 0.00181481
0.577771 0.624925 0.00214073
0.577771 0.641112 0.00219515
0.577771 0.667622 0.00440461
0.589213 0.588592 0.00176429
0.589213 0.57497 0.00204867
0.589213 0.61077 0.00173992
0.589213 0.619263 0.00419286
0.622278 0.476532 0.00221954
0.622278 0.477497 0.00146446
0.622278 0.492033 0.000986241
0.622278 0.494749 0.00105185
0.653673 0.402055 0.000532122
0.653673 0.416384 0.00175653
0.673791 0.365621 0.00115965
0.673791 0.364 0.000599357
0.673791 0.366027 0.000912063
0.673791 0.372566 0.00126869
0.739908 0.27034 0.000457875
0.739908 0.275602 0.000732879
0.739908 0.269988 0.000438331
0.739908 0.274126 0.000269904
0.817091 0.197939 0.000265097
0.817091 0.203578 0.000425333
