Mean Boxsize 
L_x L_y L_z 
54.5515 54.5515 50
q |h_q|^2 |h_q|^2_var
0.115179 198.465 2952.1
0.115179 233.65 17396.3
0.162888 57.7079 317.602
0.162888 89.3648 1822.71
0.230358 17.9002 17.9905
0.230358 18.0218 10.8006
0.257548 10.384 7.28029
0.257548 12.4706 1.80442
0.257548 11.4707 5.6401
0.257548 11.2254 2.93945
0.325775 4.0826 0.23041
0.325775 4.4113 0.2255
0.345537 3.45071 0.217968
0.345537 3.3843 0.257537
0.364228 2.68863 0.0622897
0.364228 2.78017 0.0773832
0.364228 2.79638 0.11317
0.364228 2.67584 0.0270487
0.415284 1.57963 0.0238266
0.415284 1.66666 0.0294274
0.415284 1.62105 0.0221852
0.415284 1.64673 0.0314621
0.460716 1.17404 0.0144909
0.460716 1.15463 0.010183
0.474895 0.995071 0.00292236
0.474895 0.978705 0.00475729
0.474895 0.996662 0.00435857
0.474895 0.991094 0.00549931
0.488663 0.888007 0.00268914
0.488663 0.830051 0.00533891
0.515096 0.753871 0.00118788
0.515096 0.708624 0.0072874
0.515096 0.729467 0.0022261
0.515096 0.718575 0.00406063
0.575895 0.49363 0.000599484
0.575895 0.46643 0.0015652
0.575895 0.494875 0.000777911
0.575895 0.480008 0.000614215
0.575895 0.467015 0.00117731
0.575895 0.494324 0.00078341
0.5873 0.458098 0.000454487
0.5873 0.451452 0.00143006
0.5873 0.469847 0.000880749
0.5873 0.480661 0.00129552
0.620258 0.363618 0.000538503
0.620258 0.382338 0.000666461
0.620258 0.379123 0.000422129
0.620258 0.379084 0.000574574
0.651551 0.321687 0.000367843
0.651551 0.299921 0.000424527
0.671603 0.270698 0.000289001
0.671603 0.290407 0.000476708
0.671603 0.286938 0.000421274
0.671603 0.283431 0.000259606
0.737505 0.213217 0.000238726
0.737505 0.20273 0.000263008
0.737505 0.20915 0.000210588
0.737505 0.202435 0.000316076
0.814438 0.156705 0.000130412
0.814438 0.148554 0.00013407
