Mean Boxsize 
L_x L_y L_z 
54.4812 54.4812 50
q |h_q|^2 |h_q|^2_var
0.115328 250.335 36462.7
0.115328 236.91 15115.7
0.163098 77.5544 1000.3
0.163098 72.6715 614.624
0.230655 19.9884 13.0331
0.230655 18.2837 3.65761
0.25788 11.6033 2.12443
0.25788 12.1736 2.76294
0.25788 12.9966 1.26234
0.25788 11.8089 4.78054
0.326196 4.86535 0.339515
0.326196 5.08313 0.239289
0.345983 3.70031 0.0814268
0.345983 3.57562 0.088437
0.364698 2.91207 0.0786371
0.364698 3.06655 0.126294
0.364698 3.0112 0.0348247
0.364698 3.18591 0.0682761
0.41582 1.81305 0.0198555
0.41582 1.86696 0.0278817
0.41582 1.87201 0.0161148
0.41582 1.86703 0.00692738
0.461311 1.22847 0.00428821
0.461311 1.26386 0.0089718
0.475508 1.08368 0.00205997
0.475508 1.12332 0.00421185
0.475508 1.11369 0.00291524
0.475508 1.08075 0.00221982
0.489294 1.00063 0.00254337
0.489294 0.999744 0.00188968
0.515761 0.835723 0.00174021
0.515761 0.821199 0.00291342
0.515761 0.835237 0.00100725
0.515761 0.821731 0.00279412
0.576638 0.546334 0.00123456
0.576638 0.552017 0.000290849
0.576638 0.538073 0.000178596
0.576638 0.553678 0.000925966
0.576638 0.540974 0.00059469
0.576638 0.554873 0.00132326
0.588058 0.519156 0.000651597
0.588058 0.51866 0.000703025
0.588058 0.521916 0.000838567
0.588058 0.521538 0.000401251
0.621058 0.426597 0.000335975
0.621058 0.427067 0.000212721
0.621058 0.416047 0.000183399
0.621058 0.424175 0.000426609
0.652392 0.350665 0.000265223
0.652392 0.355937 0.000196364
0.67247 0.317773 0.000208193
0.67247 0.323956 0.000386555
0.67247 0.323439 0.000134509
0.67247 0.319782 0.000221343
0.738457 0.233175 0.000114037
0.738457 0.237726 0.000126968
0.738457 0.235437 0.000182873
0.738457 0.234259 0.000137059
0.81549 0.172364 8.79191e-05
0.81549 0.172011 8.03167e-05
