Mean Boxsize 
L_x L_y L_z 
54.362 54.362 50
q |h_q|^2 |h_q|^2_var
0.11558 364.976 45082.2
0.11558 263.237 18271.1
0.163455 61.6454 315.603
0.163455 87.1669 1455.52
0.231161 21.5423 26.7626
0.231161 23.5928 16.5141
0.258446 13.1739 7.23571
0.258446 14.877 3.92713
0.258446 14.365 5.04539
0.258446 14.4389 9.20096
0.326911 5.69554 1.2224
0.326911 5.61553 0.905789
0.346741 4.43011 0.222202
0.346741 4.39117 0.196655
0.365497 3.58728 0.134171
0.365497 3.59099 0.172073
0.365497 3.70881 0.180421
0.365497 3.67249 0.237795
0.416731 2.27765 0.0948847
0.416731 2.1952 0.0351936
0.416731 2.16911 0.0587027
0.416731 2.21324 0.0877885
0.462322 1.47491 0.0250217
0.462322 1.51998 0.0144313
0.47655 1.3095 0.008888
0.47655 1.39709 0.0286784
0.47655 1.32504 0.0115409
0.47655 1.31939 0.0235408
0.490366 1.16193 0.0156916
0.490366 1.18656 0.0102049
0.516891 0.961148 0.0115592
0.516891 0.99445 0.0110447
0.516891 0.992267 0.00849234
0.516891 0.948363 0.0138688
0.577902 0.672905 0.00399542
0.577902 0.64587 0.0045254
0.577902 0.656392 0.00489321
0.577902 0.669428 0.00636033
0.577902 0.626077 0.00557293
0.577902 0.662923 0.00362282
0.589347 0.619763 0.00369748
0.589347 0.619013 0.00181881
0.589347 0.613902 0.00355378
0.589347 0.598935 0.00347512
0.622419 0.501806 0.00158779
0.622419 0.513119 0.00343629
0.622419 0.499917 0.00342584
0.622419 0.507606 0.00208629
0.653821 0.431392 0.00224227
0.653821 0.419361 0.00255992
0.673944 0.386547 0.00169595
0.673944 0.375924 0.00178084
0.673944 0.366952 0.00197648
0.673944 0.383628 0.0012505
0.740076 0.281841 0.00087903
0.740076 0.276157 0.00100665
0.740076 0.282062 0.000793007
0.740076 0.273183 0.00103712
0.817277 0.207518 0.000414203
0.817277 0.202138 0.000663066
