Mean Boxsize 
L_x L_y L_z 
54.4552 54.4552 50
q |h_q|^2 |h_q|^2_var
0.115383 298.146 51504.8
0.115383 166.743 3534.41
0.163176 86.5023 2525.35
0.163176 63.2308 204.902
0.230765 24.6643 49.4086
0.230765 16.8086 16.5048
0.258003 13.8639 10.2933
0.258003 14.4711 10.9209
0.258003 12.8764 8.20852
0.258003 11.0216 3.12747
0.326351 5.63625 1.44712
0.326351 4.78377 1.05035
0.346148 4.51518 0.300252
0.346148 3.59642 0.252252
0.364872 3.70325 0.146906
0.364872 3.49415 0.236948
0.364872 3.12278 0.285329
0.364872 2.95505 0.203676
0.416018 2.09923 0.119831
0.416018 2.04254 0.180435
0.416018 1.97347 0.106397
0.416018 1.7342 0.116526
0.46153 1.46711 0.0301611
0.46153 1.18532 0.0191209
0.475734 1.2212 0.0272398
0.475734 1.36999 0.0194967
0.475734 1.13683 0.0442418
0.475734 1.06387 0.0125205
0.489527 1.01161 0.0358415
0.489527 1.16842 0.0514554
0.516006 0.876485 0.0155797
0.516006 0.986103 0.0157021
0.516006 0.797847 0.0160821
0.516006 0.876253 0.0248937
0.576913 0.658496 0.00354221
0.576913 0.5322 0.00749238
0.576913 0.604862 0.0135745
0.576913 0.632162 0.00720004
0.576913 0.566562 0.0120292
0.576913 0.531718 0.00330644
0.588338 0.58022 0.0033793
0.588338 0.621381 0.00396771
0.588338 0.504947 0.00663695
0.588338 0.479668 0.00210839
0.621354 0.486905 0.00184208
0.621354 0.460317 0.00271088
0.621354 0.398648 0.0018574
0.621354 0.431591 0.0055832
0.652702 0.358856 0.00314542
0.652702 0.394216 0.00464625
0.67279 0.37189 0.00305253
0.67279 0.335776 0.00264027
0.67279 0.307128 0.00131282
0.67279 0.33789 0.00386643
0.738809 0.243128 0.00110414
0.738809 0.266132 0.00187971
0.738809 0.234676 0.00101941
0.738809 0.253849 0.00213302
0.815878 0.171983 0.000546737
0.815878 0.191229 0.001224
